height_cm,media,price_gbp,title,url,width_cm
70,"oil, watercolour, charcoal and ink on canvas","£1,400.00","Wherever You Go, I Will Follow by Dominic Bradnum",https://www.bearspace.co.uk/product-page/wherever-you-go-i-will-follow-by-dominic-bradnum,100
40,oil on canvas,£640.00,SSHHH by Dominic Bradnum,https://www.bearspace.co.uk/product-page/sshhh-by-dominic-bradnum,50
50,Oil on canvas,£940.00,With Tomorrow by Chris Hawtin,https://www.bearspace.co.uk/product-page/with-tomorrow-by-chris-hawtin,60
90,,£940.00,The High Way (Peak) by Jane Ward,https://www.bearspace.co.uk/product-page/the-high-way-peak-by-jane-ward-1,70
70,,£840.00,From Frozen Floods by Jane Ward,https://www.bearspace.co.uk/product-page/from-frozen-floods-by-jane-ward,90
70,,£840.00,And The Sunset by Jane Ward,https://www.bearspace.co.uk/product-page/and-the-sunset-by-jane-ward,90
70,,£840.00,"Of Earth, Air and Water by Jane Ward",https://www.bearspace.co.uk/product-page/of-earth-air-and-water-by-jane-ward,90
70,,£840.00,Unfathomable Deeps by Jane Ward,https://www.bearspace.co.uk/product-page/unfathomable-deeps-by-jane-ward,90
70,,£840.00,In These Solitudes by Jane Ward,https://www.bearspace.co.uk/product-page/in-these-solitudes-by-jane-ward,90
90,,"£1,400.00",To The Zenith'sHeight by Jane Ward,https://www.bearspace.co.uk/product-page/to-the-zenith-sheight-by-jane-ward,120
70,,£840.00,Broad Vales Between by Jane Ward,https://www.bearspace.co.uk/product-page/broad-vales-between-by-jane-ward,90
90,,"£1,400.00",From the Curved Horizon by Jane Ward,https://www.bearspace.co.uk/product-page/from-the-curved-horizon-by-jane-ward,120
50,Graphite on paper,£720.00,Entry Point by Joseph Stokes,https://www.bearspace.co.uk/product-page/entry-point-by-joseph-stokes,40
35,Oil on Canvas,"£3,000.00",Spangled by John Greenwood,https://www.bearspace.co.uk/product-page/spangled-by-john-greenwood,30
56,Pencil on Arches paper,"£3,200.00",Where Stars Dissolve by Bella Easton,https://www.bearspace.co.uk/product-page/where-stars-dissolve-by-bella-easton,41
45,Oil on Gessoed canvas on Board,"£3,800.00",El Dorado by John Greenwood,https://www.bearspace.co.uk/product-page/el-dorado-by-john-greenwood,38
56,Pencil on Arches paper,"£3,200.00",ANGEL HEART by Bella Easton,https://www.bearspace.co.uk/product-page/angel-heart-by-bella-easton,41
45,Oil on Gessoed canvas on Board,"£9,800.00",Museum of now by John Greenwood,https://www.bearspace.co.uk/product-page/museum-of-now-by-john-greenwood,38
13.5,24K gold leaf & white casting cement,£290.00,White Sitting Double by Vic Wright,https://www.bearspace.co.uk/product-page/white-sitting-double-by-vic-wright,10
14,White and grey casting cement with ink,£340.00,Standing Triple Black Grey and White by Vic Wright,https://www.bearspace.co.uk/product-page/standing-triple-black-grey-and-white-by-vic-wright,11
18,"13k gold leaf, white casting cement and ink",£440.00,Meld 3 by Vic Wright,https://www.bearspace.co.uk/product-page/meld-3-by-vic-wright,12
80,oil on canvas,"£1,600.00",The Tide Seems To Whisper Your Name by Dominic Badnum,https://www.bearspace.co.uk/product-page/the-tide-seems-to-whisper-your-name-by-dominic-badnum,100
14,White and Grey fine casting cement with white wax,£325.00,Standing White and Grey speckle by Vic Wright,https://www.bearspace.co.uk/product-page/standing-white-and-grey-speckle-by-vic-wright,13
80,oil on canvas with charcoal and watercolour,"£1,600.00",I See Beauty In Everything by Dominic Badnum,https://www.bearspace.co.uk/product-page/i-see-beauty-in-everything-by-dominic-badnum,100
12,Grey casting cement,£180.00,Standing Grey double by Vic Wright,https://www.bearspace.co.uk/product-page/standing-grey-double-by-vic-wright,6.5
15,24k gold leaf with casting cement,£380.00,Standing Triple Grey and Black by Vic Wright,https://www.bearspace.co.uk/product-page/standing-triple-grey-and-black-by-vic-wright,14
40,oil on canvas with charcoal and watercolour,£840.00,Take My Hand by Dominic Badnum,https://www.bearspace.co.uk/product-page/take-my-hand-by-dominic-badnum,50
40,"oil with charcoal, watercolour and pencil on canvas",£640.00,This Day Is Ours by Dominic Bradnum,https://www.bearspace.co.uk/product-page/you-took-my-breath-away-by-dominic-badnum,50
76,,"£1,400.00",Disperse by Dionne Cole,https://www.bearspace.co.uk/product-page/disperse-by-dionne-cole,101.6
45,Digital print on Aluminium,£640.00,Castle 2 by Jane Ward,https://www.bearspace.co.uk/product-page/castle-2-by-jane-ward,60
59.4,,"£1,200.00",Purple Motion by Dionne Cole,https://www.bearspace.co.uk/product-page/purple-motion-by-dionne-cole,84.1
90,Digital print on Aluminium,"£1,800.00",The Ephemeral Isles 1 by Jane Ward,https://www.bearspace.co.uk/product-page/the-ephemeral-isles-1-by-jane-ward,120
18,"13K gold leaf, copper leaf, white casting cement, iron and pigment",£440.00,Meld 4 by Vic Wright,https://www.bearspace.co.uk/product-page/meld-4-by-vic-wright,15
45,Digital print on Aluminium,£640.00,From Steep to Steep by Jane Ward,https://www.bearspace.co.uk/product-page/from-steep-to-steep-by-jane-ward,60
24,Digital print on Aluminium,£340.00,Unfathomable Deeps by Jane Ward,https://www.bearspace.co.uk/product-page/unfathomable-deeps-by-jane-ward-1,30
45,Digital print on Aluminium,£640.00,Those Hidden Ravines by Jane Ward,https://www.bearspace.co.uk/product-page/those-hidden-ravines-by-jane-ward,60
17,"16K goldleaf, white casting cement, pigment and ink",£440.00,Meld 6 by Vic Wright,https://www.bearspace.co.uk/product-page/meld-5-by-vic-wright,18
45,Digital print on canvas with dissolved ink,£490.00,The Ephemeral Isles 5 by Jane Ward,https://www.bearspace.co.uk/product-page/the-ephemeral-isles-5a-by-jane-ward,60
24,Digital print on Aluminium,£340.00,From Frozen Floods by Jane Ward,https://www.bearspace.co.uk/product-page/from-frozen-floods-by-jane-ward-1,30
17,"13K gold leaf, copper leaf, white casting cement, iron and pigment",£420.00,Meld 5,https://www.bearspace.co.uk/product-page/copy-of-meld-5,15
70,"Resin, pigments, indian ink, watercolour paper, inkjet prints, MDF","£1,200.00",FRAGMENTATION No.46 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragmentation-no-46-by-jim-cheatle,54.5
,Digital print under acrylic with subframe 30cm  diam  Edition of 10   ,£320.00,Portal 1 by Jane Ward,https://www.bearspace.co.uk/product-page/portal-1-by-jane-ward,
70,"Resin, pigments, inkjet prints, canvas, MDF","£1,200.00",FRAGMENTATION No.44 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragmentation-no-44-by-jim-cheatle,54.5
70,"Resin, pigments, canvas, paper, inkjet prints, MDF","£1,200.00",FRAGMENTATION No.33 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragmentation-no-33-by-jim-cheatle,54.5
70,"Resin, pigments, inkjet prints, acrylic, paper, MDF","£1,200.00",FRAGMENTATION No.45 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragmentation-no-45-by-jim-cheatle,54.5
70,"Resin, pigments, canvas, paper, inkjet prints, MDF","£1,200.00",FRAGMENTATION No.17 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragmentation-no-17-by-jim-cheatle,54.5
30.5,"Resin, pigments, inkjet prints, MDF",£490.00,Fragstudy 1 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragstudy-1-by-jim-cheatle,23
70,"Resin, pigments, paper, indian ink, inkjet prints, MDF","£1,200.00",FRAGMENTATION No.10 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragmentation-no-10-by-jim-cheatle,54.5
30.5,"Resin, pigments, inkjet prints, MDF",£490.00,Fragstudy 2 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragstudy-2-by-jim-cheatle,23
,Digital print under acrylic with subframe 30cm  diam  Edition of 10   ,£320.00,Portal 5 by Jane Ward,https://www.bearspace.co.uk/product-page/portal-5-by-jane-ward,
30.5,"Resin, pigments, inkjet prints, MDF",£490.00,Fragstudy 7 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragstudy-5-by-jim-cheatle,23
30.5,"Resin, pigments, inkjet prints, MDF",£490.00,Fragstudy 3 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragstudy-3-by-jim-cheatle,23
30.5,"Resin, pigments, inkjet prints, MDF",£490.00,Fragstudy 4 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragstudy-4-by-jim-cheatle,23
,Digital print under acrylic with subframe 30cm  diam  Edition of 10   ,£320.00,Portal 6 by Jane Ward,https://www.bearspace.co.uk/product-page/portal-6-by-jane-ward,
,Digital print under acrylic with subframe 60cm  diam  Edition of 10   ,£490.00,Portal 7 by Jane Ward,https://www.bearspace.co.uk/product-page/portal-7-by-jane-ward,
,Digital print under acrylic with subframe 60cm  diam  Edition of 10   ,£490.00,Portal 9 by Jane Ward,https://www.bearspace.co.uk/product-page/portal-9-by-jane-ward,
,Digital print under acrylic with subframe 60cm  diam  Edition of 10   ,£490.00,Portal 8 by Jane Ward,https://www.bearspace.co.uk/product-page/portal-8-by-jane-ward,
40.7,Inkjet Print (Hahnemuhle Ultra-Smooth),£400.00,Balancing Acts II by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-ii-by-elise-wootten,50.8
40,"oil on canvas with charcoal, watercolour and pencil",£640.00,You Took My Breath Away by Dominic Bradnum,https://www.bearspace.co.uk/product-page/you-took-my-breath-away-by-dominic-bradnum,50
40.7,Inkjet Print (Hahnemuhle Ultra-Smooth),£400.00,Balancing Acts I by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-i-by-elise-wootten,50.8
100,"Oil with charcoal, watercolour and sand on canvas","£1,400.00",As The Tide Turned by Dominic Bradnum,https://www.bearspace.co.uk/product-page/as-the-tide-turned-by-dominic-bradnum,80
40.7,Inkjet Print (Hahnemuhle Ultra-Smooth),£400.00,Balancing Acts III by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-iii-by-elise-wootten,50.8
40.7,Inkjet Print (Hahnemuhle Ultra-Smooth),£340.00,Balancing Acts V by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-v-by-elise-wootten,50.8
74,"Aluminium, Inkjet Vinyl Print",£640.00,Somewhat Confusing I by Elise Wootten,https://www.bearspace.co.uk/product-page/somewhat-confusing-i-by-elise-wootten,88
90,Archival digital print on canvas with dissolved canvas,"£1,400.00",The Ephemeral Isles by Jane Ward,https://www.bearspace.co.uk/product-page/the-ephemeral-isles-by-jane-ward,120
16,,£440.00,Kin by Vic Wright,https://www.bearspace.co.uk/product-page/kin-by-vic-wright,14
75,"Aluminium, Inkjet Vinyl Print",£640.00,Somewhat Confusing III by Elise Wootten,https://www.bearspace.co.uk/product-page/somewhat-confusing-iii-by-elise-wootten,88
90,Archival digital print on canvas with dissolved canvas,"£1,400.00",To The Zenith's Height by Jane Ward,https://www.bearspace.co.uk/product-page/to-the-zenith-s-height-by-jane-ward,120
40,"oil with charcoal, watercolour and pencil on canvas",£640.00,Morning Came by Dominic Bradnum,https://www.bearspace.co.uk/product-page/morning-came-by-dominic-bradnum,50
75,"Aluminium, Inkjet Vinyl Print",£640.00,Somewhat Confusing II by Elise Wootten,https://www.bearspace.co.uk/product-page/somewhat-confusing-ii-by-elise-wootten,89
42,"Oil paint, spray paint & gold leaf on board",£340.00,Another Sunset by Lucy Baker,https://www.bearspace.co.uk/product-page/another-sunset-by-lucy-baker,34
30,Oil paint & spray paint on board,£0.00,Hurricane by Lucy Baker,https://www.bearspace.co.uk/product-page/hurricane-by-lucy-baker,40
110,"Oil paint, spray paint & gold leaf on board","£1,600.00",Amazons by Lucy Baker,https://www.bearspace.co.uk/product-page/amazons-by-lucy-baker,130
127,Sprayed board Wall based sculpture,"£3,400.00",Candy Flop by Olly Fathers,https://www.bearspace.co.uk/product-page/candy-flop-by-olly-fathers,53
100,"Spraypaint, board, card, digital print collage","£1,940.00",Tommy by Olly Fathers,https://www.bearspace.co.uk/product-page/tommy-by-olly-fathers,70
120,Sprayed board Acrylic paint on sprayed board,"£4,000.00",Crossroads by Olly Fathers,https://www.bearspace.co.uk/product-page/crossroads-by-olly-fathers,120
38,"Various wood veneers, various woods, board","£1,100.00",Constructed Veneer IV by Olly Fathers,https://www.bearspace.co.uk/product-page/constructed-veneer-4-by-olly-fathers,32
30,"Various wood veneers, various woods, board",£940.00,Constructed Veneer V by Olly Fathers,https://www.bearspace.co.uk/product-page/constructed-veneer-5-by-olly-fathers,33
34,"Various wood veneers, various woods, board",£940.00,Constructed Veneer VII by Olly Fathers,https://www.bearspace.co.uk/product-page/constructed-veneer-vii-by-olly-fathers,25
26,"Various wood veneers, various woods, board",£940.00,Constructed Veneer VI by Olly Fathers,https://www.bearspace.co.uk/product-page/constructed-veneer-5-by-olly-fathers-1,24
29.7,"Spraypaint, vinyl, card, digital print collage",£175.00,Collage 3 by Olly Fathers,https://www.bearspace.co.uk/product-page/collage-3-by-olly-fathers,21
29.7,"Spraypaint, vinyl, card, digital print collage",£175.00,Collage 2 by Olly Fathers,https://www.bearspace.co.uk/product-page/collage-2-by-olly-fathers,21
29.7,"Spraypaint, vinyl, card, digital print collage",£175.00,Collage 1 by Olly Fathers,https://www.bearspace.co.uk/product-page/collage-1-by-olly-fathers,21
30,Acrylic paint on sprayed board,£240.00,C6 by Olly Fathers,https://www.bearspace.co.uk/product-page/c6-by-olly-fathers,30
40.7,Inkjet Print (Hahnemuhle Ultra-Smooth),£400.00,Balancing Acts IV by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-iv-by-elise-wootten,50.8
30,Acrylic paint on sprayed board,£240.00,C13 by Olly Fathers,https://www.bearspace.co.uk/product-page/c13-by-olly-fathers,30
30,Acrylic paint on sprayed board,£240.00,P1 by Olly Fathers,https://www.bearspace.co.uk/product-page/p1-by-olly-fathers,30
40.9,"Set of four Beech, Mdf, Acrylic paint, Vinyl","£1,200.00",All Recognisable Entities by Elise Wootten,https://www.bearspace.co.uk/product-page/all-recognisable-entities-by-elise-wootten,50.2
30,Acrylic paint on sprayed board,£240.00,P4 by Olly Fathers,https://www.bearspace.co.uk/product-page/p4-by-olly-fathers,30
30,Acrylic paint on sprayed board,£240.00,P8 by Olly Fathers,https://www.bearspace.co.uk/product-page/p8-by-olly-fathers,30
40,Digital print on canvas with hand dissolved ink,£290.00,Alpine 2 by Jane Ward,https://www.bearspace.co.uk/product-page/alpine-2-by-jane-ward,30
57.5,,£690.00,Summer Breeze by Lucinda Metcalfe,https://www.bearspace.co.uk/product-page/summer-breeze-by-lucinda-metcalfe,45
40,Digital print on canvas with hand dissolved ink,£290.00,Alpine 3 by Jane Ward,https://www.bearspace.co.uk/product-page/alpine-3-by-jane-ward-1,30
90,,"£1,400.00",Overland I by Jane Ward,https://www.bearspace.co.uk/product-page/overland-i-by-jane-ward,120
110,"Oil paint, spray paint & gold leaf on board","£1,600.00",The Hurricane by Lucy Baker,https://www.bearspace.co.uk/product-page/the-hurricane-by-lucy-baker,130
30,"Oil paint, spray paint & gold leaf on board",£340.00,OFF ROAD by Lucy Baker,https://www.bearspace.co.uk/product-page/off-road-by-lucy-baker,40
